segment,step_in_segment,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_mag
0,13,0.1152671348495678,-0.02576196885997203,0.6144945820987742,0.11526739942701858,-0.025760756987441173,0.614494353109594,2.645774507814558e-07,1.211872530857555e-06,-2.2898918017322245e-07,1.2613771454824739e-06
0,14,0.12158405279945267,-0.03175998714579145,0.6095833374238064,0.12158417581732935,-0.03175946933113641,0.6095833078202566,1.230178766770118e-07,5.178146550433027e-07,-2.9603549833723264e-08,5.330495147005508e-07
0,15,0.12790097074933754,-0.03775800543161087,0.6046720927488388,0.12790113725939564,-0.03775729253300787,0.604672020825068,1.6651005810275343e-07,7.128986029975026e-07,-7.192377082798629e-08,7.356106622495965e-07
0,16,0.13564764596597914,-0.04408068539061364,0.6045592157188665,0.13564777931648656,-0.04408024193785443,0.6045592244185002,1.3335050741414278e-07,4.434527592078741e-07,8.699633680109287e-09,4.63150505886428e-07
0,17,0.14339432118262077,-0.05040336534961641,0.6044463386888942,0.14339456592292144,-0.05040261596513726,0.6044462986489998,2.4474030066445884e-07,7.493844791511828e-07,-4.003989440004574e-08,7.893529663626951e-07
0,18,0.15114099639926237,-0.05672604530861919,0.6043334616589219,0.1511412618835241,-0.05672537397026237,0.6043334564267074,2.654842617133557e-07,6.713383568154874e-07,-5.232214439487848e-09,7.219449138384071e-07
0,19,0.15980826307010582,-0.05175270202207526,0.6039535340201866,0.15980868852984348,-0.051751840582625774,0.603953373780128,4.2545973766294765e-07,8.614394494885214e-07,-1.6024005855541645e-07,9.740486588837101e-07
0,20,0.16847552974094926,-0.046779358735531344,0.6035736063814513,0.16847569110693084,-0.04677860185475688,0.6035735782827564,1.6136598157689974e-07,7.568807744648409e-07,-2.8098694926370626e-08,7.744010740058016e-07
0,21,0.1771427964117927,-0.04180601544898742,0.603193678742716,0.17714323202947524,-0.0418051269132965,0.6031935240159387,4.3561768253708166e-07,8.885356909196784e-07,-1.5472677727945694e-07,1.0015981304816692e-06
0,22,0.17553017388188003,-0.038577278086528666,0.5938676558165014,0.1755302728138676,-0.038576452212230605,0.5938676190252202,9.893198757437993e-08,8.258742980604694e-07,-3.67912811327642e-08,8.325920325883982e-07
0,23,0.17391755135196738,-0.03534854072406992,0.5845416328902867,0.17391799924707238,-0.035347586944421444,0.5845414645230042,4.478951050046476e-07,9.537796484757055e-07,-1.6836728256031108e-07,1.067076934794445e-06
0,24,0.1723049288220547,-0.03211980336161117,0.5752156099640721,0.17230532442336477,-0.032118916613807835,0.575215465234179,3.956013100714362e-07,8.867478033317e-07,-1.4472989307012796e-07,9.817172735527895e-07
0,25,0.17846790530684073,-0.02424636890659778,0.5753791664698509,0.17846809815663878,-0.024245498201690734,0.5753790706369597,1.928497980474564e-07,8.70704907045966e-07,-9.58328911782047e-08,8.969403674673377e-07
0,26,0.18463088179162673,-0.016372934451584394,0.5755427229756298,0.1846308391147728,-0.01637208739969163,0.5755426974323726,-4.2676853939660475e-08,8.470518927626569e-07,-2.5543257176074974e-08,8.485108607920996e-07
0,27,0.19079385827641276,-0.008499499996571007,0.5757062794814086,0.19079412219787037,-0.008498624517411303,0.5757061383263076,2.6392145760500973e-07,8.754791597041095e-07,-1.4115510105217055e-07,9.252259493840491e-07
0,28,0.19996479421972208,-0.007182941143899537,0.5794693376408275,0.199964726985903,-0.007182087894300353,0.5794693244145924,-6.723381906770243e-08,8.532495991845149e-07,-1.3226235107133277e-08,8.559966111089885e-07
