step,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_mag
12,0.008842724723599323,-0.08719482956420262,0.573086654576304,0.00010782768822171335,-0.09038680818224085,0.5691850499541842,-0.008734897035377609,-0.00319197861803823,-0.0039016046221198586,0.010085121335115847
13,0.011904550084416668,-0.0914230507676341,0.5816158615098184,0.007980863339013667,-0.08835862404183799,0.5813789174467239,-0.003923686745403001,0.0030644267257961127,-0.0002369440630944908,0.00498419214345318
14,0.014966375445234013,-0.09565127197106557,0.5901450684433326,0.014366425972476315,-0.08792756384829126,0.5889641980757689,-0.0005999494727576982,0.007723708122774314,-0.0011808703675636467,0.00783645719446371
15,0.01802820080605136,-0.09987949317449706,0.5986742753768469,0.016469989781240875,-0.09341553388656547,0.5953691910715401,-0.0015582110248104838,0.006463959287931587,-0.003305084305306849,0.007425252422582253
16,0.0268023770333492,-0.1021338288416815,0.6029088712527224,0.024120042772561346,-0.09514677986162502,0.597044516293667,-0.0026823342607878546,0.006987048980056476,-0.005864354959055462,0.009508124400853354
17,0.03557655326064704,-0.10438816450886593,0.6071434671285978,0.029851382468206733,-0.09860624582101551,0.5986587495661346,-0.0057251707924403095,0.0057819186878504125,-0.008484717562463162,0.01175578991094585
18,0.044350729487944884,-0.10664250017605037,0.6113780630044733,0.03414066524850179,-0.1027848265995818,0.600445488520242,-0.010210064239443095,0.0038576735764685732,-0.010932574484231239,0.015448243979475548
19,0.04727132700773,-0.11527316745996938,0.6154989479047969,0.035439892974819816,-0.11366775236310647,0.6015019132434521,-0.011831434032910183,0.0016054150968629055,-0.01399703466134472,0.018397748998701613
20,0.050191924527515114,-0.12390383474388839,0.6196198328051206,0.03875843655027215,-0.12802989141498414,0.6015994306845709,-0.011433487977242966,-0.004126056671095751,-0.018020402120549672,0.021736694402902306
21,0.05311252204730023,-0.1325345020278074,0.6237407177054441,0.04144420562820774,-0.14383552479469125,0.603018182457907,-0.011668316419092488,-0.011301022766883856,-0.0207225352475372,0.026330328344308814
22,0.062074014175318784,-0.12866359515644132,0.6259104501388728,0.04622272156249584,-0.13888194639835447,0.6051570255486385,-0.01585129261282294,-0.010218351241913143,-0.020753424590234326,0.02804251792944039
23,0.07103550630333735,-0.12479268828507523,0.6280801825723015,0.05146482989250291,-0.12710967464842085,0.6098881149083948,-0.019570676410834445,-0.0023169863633456245,-0.018192067663906686,0.026820349119161004
24,0.07999699843135591,-0.12092178141370914,0.6302499150057301,0.042506794427185815,-0.13467118335170117,0.609759637987628,-0.037490204004170094,-0.013749401937992026,-0.020490277018102132,0.04488221142284897
25,0.0890533177229298,-0.12217365099859961,0.63430156941245,0.047508779242475714,-0.11755356645790131,0.6310484225578771,-0.04154453848045409,0.004620084540698302,-0.003253146854572897,0.04192704166972132
26,0.09810963701450369,-0.12342552058349009,0.6383532238191699,0.06513198495012988,-0.1222310524435446,0.6368063473500104,-0.03297765206437381,0.0011944681399454898,-0.0015468764691595194,0.033035512961464404
27,0.10716595630607759,-0.12467739016838056,0.6424048782258898,0.09976107770191718,-0.13354078936469885,0.637720184059012,-0.007404878604160406,-0.008863399196318289,-0.004684694166877779,0.012463483938804067
28,0.11599091378431116,-0.12156887734786066,0.6388753919244525,0.127299838353366,-0.14198267196713033,0.6344070459385592,0.011308924569054843,-0.020413794619269662,-0.004468345985893296,0.023760911209714665
29,0.12481587126254473,-0.11846036452734078,0.6353459056230154,0.140935518433643,-0.15353510061110634,0.6128151637878426,0.01611964717109826,-0.03507473608376556,-0.022530741835172785,0.04469579917519886
30,0.13364082874077832,-0.11535185170682088,0.6318164193215782,0.15766520902844372,-0.14205032303680448,0.6080454325117457,0.024024380287665403,-0.026698471329983597,-0.023770986809832473,0.04307016407534979
31,0.14220175921635098,-0.12020778160579387,0.6300471216618636,0.1620666330465691,-0.14242285788030756,0.6114814254541944,0.01986487383021812,-0.02221507627451369,-0.018565696207669236,0.03511136428349673
