point_x,point_y,point_z,reachable,error_mm
0.17142857142857143,-0.4,0.5142857142857142,1,0.02883344483892927
0.17142857142857143,-0.4,0.6071428571428571,1,0.031081717418464508
0.17142857142857143,-0.4,0.7,1,0.03413822030173168
0.17142857142857143,-0.2857142857142857,0.3285714285714285,1,0.028590664258833554
0.17142857142857143,-0.2857142857142857,0.4214285714285714,1,0.042580140914128296
0.17142857142857143,-0.2857142857142857,0.5142857142857142,1,0.04022039345622926
0.17142857142857143,-0.2857142857142857,0.6071428571428571,1,0.03740314661917031
0.17142857142857143,-0.2857142857142857,0.7,1,0.03823892931732857
0.17142857142857143,-0.17142857142857143,0.3285714285714285,1,0.01982456820110627
0.17142857142857143,-0.17142857142857143,0.4214285714285714,1,0.01721616723722958
0.17142857142857143,-0.17142857142857143,0.5142857142857142,1,0.022217816318634436
0.17142857142857143,-0.17142857142857143,0.6071428571428571,1,0.028191867744076404
0.17142857142857143,-0.17142857142857143,0.7,1,0.03646076874354634
0.17142857142857143,-0.05714285714285716,0.3285714285714285,1,0.024731459371940222
0.17142857142857143,-0.05714285714285716,0.4214285714285714,1,0.01837039846253747
0.17142857142857143,-0.05714285714285716,0.5142857142857142,1,0.02167045714338569
0.17142857142857143,-0.05714285714285716,0.6071428571428571,1,0.01743874320328488
0.17142857142857143,-0.05714285714285716,0.7,1,0.021050542447572353
0.17142857142857143,0.05714285714285716,0.3285714285714285,1,0.0023955199781911306
0.17142857142857143,0.05714285714285716,0.4214285714285714,1,3.8626627814958034
0.17142857142857143,0.05714285714285716,0.5142857142857142,1,0.005100439585199276
0.17142857142857143,0.05714285714285716,0.7,1,0.027531482758797788
0.17142857142857143,0.17142857142857149,0.3285714285714285,1,0.007979802969936292
0.17142857142857143,0.17142857142857149,0.4214285714285714,1,0.00655660648668977
0.17142857142857143,0.17142857142857149,0.7,1,0.024147147855910153
0.17142857142857143,0.2857142857142857,0.3285714285714285,1,0.01127533912336545
0.17142857142857143,0.2857142857142857,0.4214285714285714,1,0.006649077175344247
0.17142857142857143,0.2857142857142857,0.5142857142857142,1,0.018134470400661098
0.17142857142857143,0.2857142857142857,0.6071428571428571,1,0.026126163848791625
0.17142857142857143,0.2857142857142857,0.7,1,0.017813869434548203
0.17142857142857143,0.4,0.3285714285714285,1,0.015243346213058185
0.17142857142857143,0.4,0.4214285714285714,1,0.014384741205897352
0.17142857142857143,0.4,0.5142857142857142,1,0.015209355165262856
0.17142857142857143,0.4,0.6071428571428571,1,0.01290822792584111
0.17142857142857143,0.4,0.7,1,0.02368122350884336
0.24285714285714285,-0.4,0.3285714285714285,1,0.02132762488616601
